TABLA: BCPM2K1

PCUENTA TEXT(10)
PDESCRI TEXT(10)
PVANEXO TEXT(10)
PVNIVEL TEXT(10)
PVDOCREF TEXT(10)
PLDOC DOUBLE(7)
PVFECVEN TEXT(10)
PMONREF TEXT(10)
PCTACAR TEXT(10)
PCTAABO TEXT(10)
PVCENCOS TEXT(10)
PVREGCTA TEXT(10)
PVTIPCTA TEXT(10)
PVCTAAJU TEXT(10)
PVAREA TEXT(10)
PVCONBAN TEXT(10)
PFORBAL TEXT(10)
PFORGYP TEXT(10)
PLINGYP TEXT(10)
PFORGNA TEXT(10)
PFORRE1 TEXT(10)
PESTADO TEXT(10)
PDATE DATE
PHORA TEXT(10)
PUSER TEXT(10)
PFOR01 TEXT(10)
PFOR02 TEXT(10)
PFOR03 TEXT(10)
PFOR04 TEXT(10)
PFOR05 TEXT(10)
PVACTFIJ TEXT(10)
PVGLODET TEXT(10)
PVANEXO2 TEXT(10)
PVDOCRE2 TEXT(10)
PTASA TEXT(10)
PVMEDPAG TEXT(10)


