TABLA: CAO01

AVANEXO TEXT(10)
ACODANE TEXT(10)
APATERNO TEXT(10)
AMATERNO TEXT(10)
ANOMBRE TEXT(10)
AFORMSUS TEXT(10)
ATELEFO TEXT(10)
ATIPTRA TEXT(10)
AFECCRE DATE
AUSER TEXT(10)
ADIRECC TEXT(10)
APROVIN TEXT(10)
ADEPART TEXT(10)
APAIS TEXT(10)
AZONPOS TEXT(10)
ADOCIDE TEXT(10)
ANUMIDE TEXT(10)
ATIPPRO TEXT(10)
ATASDET TEXT(10)
ATASPER TEXT(10)
AENTFIN TEXT(10)
AFNACI DATE
ASEXO TEXT(10)
ANACIO TEXT(10)
AEMAIL TEXT(10)
AESSAL TEXT(10)
ADOMIC TEXT(10)
ATIPVIA TEXT(10)
ANVVIA TEXT(10)
ANUMER TEXT(10)
AINTER TEXT(10)
ATZONA TEXT(10)
ANZONA TEXT(10)
AREFER TEXT(10)
AUBIGU TEXT(10)
ASITUA TEXT(10)
ATICONV TEXT(10)


