TABLA: CCB02191

CB_CODBAN TEXT(10)
CB_RUBRO TEXT(10)
CB_TIPDOC TEXT(10)
CB_ESTADO TEXT(10)
CB_FECORD TEXT(10)
CB_TIPREG TEXT(10)
CB_NUMDOC TEXT(10)
CB_FECDOC TEXT(10)
CB_ANO TEXT(10)
CB_SUBDIA TEXT(10)
CB_COMPRO TEXT(10)
CB_SECUE TEXT(10)
CB_FECCOM TEXT(10)
CB_CODMON TEXT(10)
CB_DH TEXT(10)
CB_IMPORT DOUBLE(7)
CB_GLOSA TEXT(10)
CB_NUMEST TEXT(10)
CB_ITEM TEXT(10)
CB_FECMOV TEXT(10)
CB_CONTIP TEXT(10)
CB_CONNRO TEXT(10)
CB_CONPRO DATE
CB_CONFEC TEXT(10)
CB_FECORD2 DATE
CB_FECDOC2 DATE
CB_FECCOM2 DATE
CB_FECMOV2 DATE
CB_CONFEC2 DATE


