TABLA: CCD00

DSUBDIA TEXT(10)
DCOMPRO TEXT(10)
DSECUE TEXT(10)
DFECCOM TEXT(10)
DCUENTA TEXT(10)
DCODANE TEXT(10)
DCENCOS TEXT(10)
DCODMON TEXT(10)
DDH TEXT(10)
DIMPORT DOUBLE(7)
DTIPDOC TEXT(10)
DNUMDOC TEXT(10)
DFECDOC TEXT(10)
DFECVEN TEXT(10)
DAREA TEXT(10)
DFLAG TEXT(10)
DDATE DATE
DXGLOSA TEXT(10)
DUSIMPOR DOUBLE(7)
DMNIMPOR DOUBLE(7)
DCODARC TEXT(10)
DFECCOM2 DATE
DFECDOC2 DATE
DFECVEN2 DATE
DCODANE2 TEXT(10)
DVANEXO TEXT(10)
DVANEXO2 TEXT(10)
DTIPCAM DOUBLE(7)
DCANTID DOUBLE(7)
DRETE TEXT(10)
DPORRE DOUBLE(7)
DTIPDOR TEXT(10)
DNUMDOR TEXT(10)
DFECDO2 DATE
DTIPTAS TEXT(10)
DIMPTAS DOUBLE(7)
DIMPBMN DOUBLE(7)
DIMPBUS DOUBLE(7)


