TABLA: CCM0219

DSUBDIA TEXT(10)
DCOMPRO TEXT(10)
DSECUE TEXT(10)
DFECCOM TEXT(10)
DFECCOM2 DATE
DCUENTA TEXT(10)
DCODANE TEXT(10)
DCODANE2 TEXT(10)
DCENCOS TEXT(10)
DCODMON TEXT(10)
DDH TEXT(10)
DIMPORT DOUBLE(7)
DTIPDOC TEXT(10)
DNUMDOC TEXT(10)
DFECDOC TEXT(10)
DFECDOC2 DATE
DFECVEN TEXT(10)
DFECVEN2 DATE
DUSIMPOR DOUBLE(7)
DMNIMPOR DOUBLE(7)
DVANEXO TEXT(10)
DVANEXO2 TEXT(10)
DFLAG TEXT(10)
DGLOSA TEXT(10)
DXGLOSA TEXT(10)
DTIPO TEXT(10)
DTIPCAM DOUBLE(7)
DCTAORI TEXT(10)
DTIPCOM TEXT(10)
DEXTOR TEXT(10)
DAREA TEXT(10)
DCANTID DOUBLE(7)


